sprint_id,sprint_name,sprint_started_at,sprint_planned_end,sprint_closed_at,story_id,issue_type,committed_at,left_at,points_at_commit,points_at_close,done_in_sprint,spilled_over,reopened,started_at,resolved_at,hours_in_progress
SYN-TWO-S1,Sprint 1,2026-08-26T09:00:00Z,2026-09-09T09:00:00Z,2026-09-09T16:00:00Z,SYN-TWO-1,Task,2026-08-26T09:00:00Z,,5.0,5.0,false,true,false,2026-08-27T09:07:00Z,,
SYN-TWO-S1,Sprint 1,2026-08-26T09:00:00Z,2026-09-09T09:00:00Z,2026-09-09T16:00:00Z,SYN-TWO-2,Story,2026-08-26T09:00:00Z,,5.0,5.0,false,true,false,2026-08-26T18:51:00Z,,
SYN-TWO-S1,Sprint 1,2026-08-26T09:00:00Z,2026-09-09T09:00:00Z,2026-09-09T16:00:00Z,SYN-TWO-3,Story,2026-08-26T09:00:00Z,,3.0,3.0,true,false,false,2026-08-27T05:33:00Z,2026-09-02T08:34:00Z,88.2
SYN-TWO-S1,Sprint 1,2026-08-26T09:00:00Z,2026-09-09T09:00:00Z,2026-09-09T16:00:00Z,SYN-TWO-4,Story,2026-08-26T09:00:00Z,,8.0,8.0,true,false,false,2026-08-27T05:25:00Z,2026-09-04T11:20:00Z,118.7
SYN-TWO-S1,Sprint 1,2026-08-26T09:00:00Z,2026-09-09T09:00:00Z,2026-09-09T16:00:00Z,SYN-TWO-5,Task,2026-08-26T09:00:00Z,,3.0,3.0,true,false,false,2026-08-28T04:49:00Z,2026-09-05T06:01:00Z,115.9
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-1,Bug,2026-09-09T09:00:00Z,,5.0,5.0,false,,,2026-09-09T14:02:00Z,,
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-2,Story,2026-09-09T09:00:00Z,,5.0,5.0,true,,,2026-09-09T18:56:00Z,2026-09-20T02:35:00Z,148.6
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-6,Task,2026-09-09T09:00:00Z,,2.0,2.0,false,true,false,2026-09-09T14:33:00Z,,
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-7,Story,2026-09-09T09:00:00Z,,2.0,2.0,true,false,false,2026-09-10T05:15:00Z,2026-09-16T23:36:00Z,97.4
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-8,Story,2026-09-17T13:10:00Z,,3.0,3.0,true,false,false,2026-09-17T16:57:00Z,2026-09-18T22:28:00Z,17.7
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-9,Task,2026-09-09T09:00:00Z,,5.0,5.0,true,false,false,2026-09-09T21:53:00Z,2026-09-13T03:45:00Z,46.7
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-10,Story,2026-09-09T09:00:00Z,,2.0,2.0,true,false,false,2026-09-09T13:50:00Z,2026-09-21T13:30:00Z,172.6
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-11,Story,2026-09-12T00:56:00Z,,1.0,1.0,true,false,false,2026-09-12T09:46:00Z,2026-09-19T16:07:00Z,104.6
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-12,Story,2026-09-09T09:00:00Z,,2.0,2.0,true,false,false,2026-09-10T15:53:00Z,2026-09-18T17:37:00Z,116.2
SYN-TWO-S2,Sprint 2,2026-09-09T09:00:00Z,2026-09-23T09:00:00Z,2026-09-23T16:00:00Z,SYN-TWO-13,Story,2026-09-09T09:00:00Z,,8.0,8.0,true,false,false,2026-09-10T06:59:00Z,2026-09-18T09:40:00Z,116.8
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-1,Story,2026-09-23T09:00:00Z,,5.0,,,,,2026-09-24T20:33:00Z,2026-09-25T06:45:00Z,6.1
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-6,Story,2026-09-23T09:00:00Z,,2.0,,,,,2026-09-23T21:25:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-14,Story,2026-09-23T09:00:00Z,,3.0,,,,,2026-09-24T17:39:00Z,2026-09-25T07:11:00Z,8.1
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-15,Story,2026-09-23T09:00:00Z,,3.0,,,,,2026-09-25T07:36:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-16,Story,2026-09-23T09:00:00Z,,1.0,,,,,2026-09-23T19:47:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-17,Story,2026-09-23T09:00:00Z,,8.0,,,,,2026-09-23T18:00:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-18,Bug,2026-09-23T09:00:00Z,,3.0,,,,,2026-09-25T06:03:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-19,Story,2026-09-23T09:00:00Z,,5.0,,,,,2026-09-24T16:35:00Z,,
SYN-TWO-S3,Sprint 3,2026-09-23T09:00:00Z,2026-10-07T09:00:00Z,,SYN-TWO-20,Task,2026-09-23T09:00:00Z,,2.0,,,,,2026-09-25T02:23:00Z,,
